scraped_club_name,website,detail_url,Platzadresse,Mitglieder_Maennlich_Gesamt,Mitglieder_Weiblich_Gesamt,Mitglieder_Gesamt_Gesamt,Anzahl_Freiplaetze,Belag_Freiplaetze,Anzahl_Hallenplaetze,Belag_Hallenplaetze,latitude,longitude
Tennisclub Burghaun e.V.,unbekannt,https://htv.liga.nu/cgi-bin/WebObjects/nuLigaTENDE.woa/wa/clubInfoDisplay?club=25198,"Wendelinusstraße 50, 36151 Burghaun, Deutschland",61,47,108,3,Sand,0,-,50.687685,9.7328538
Tennisclub Dipperz,www.tennisclub-dipperz.de,https://htv.liga.nu/cgi-bin/WebObjects/nuLigaTENDE.woa/wa/clubInfoDisplay?club=25209,"Lindenweg 2, 36160 Dipperz, Deutschland",78,77,155,3,Quarzsand,0,-,50.5469211,9.7986818
Tennisclub Gelb-Blau e.V. 1953 Gersfeld/Rhön,www.tennisclub-gersfeld.de,https://htv.liga.nu/cgi-bin/WebObjects/nuLigaTENDE.woa/wa/clubInfoDisplay?club=25234,"Tannenstr. 8, 36129 Gersfeld, Deutschland",82,43,125,2,Sand,0,-,50.4475348,9.924544
Tennisclub Petersberg-Steinau e.V.,www.tcp-steinau.de,https://htv.liga.nu/cgi-bin/WebObjects/nuLigaTENDE.woa/wa/clubInfoDisplay?club=25224,"Untergötzenhof 1, 36100 Petersberg, Deutschland",101,61,162,4,Sand,0,-,50.5796968,9.7305622
Tennisclub Rot-Weiß 1953 Fulda e.V.,www.tc-rot-weiss-fulda.de,https://htv.liga.nu/cgi-bin/WebObjects/nuLigaTENDE.woa/wa/clubInfoDisplay?club=25225,"Marienstrasse 18, 36039 Fulda, Deutschland",149,98,247,6,Sand,0,-,50.5620309,9.666645
Tennisclub Rot-Weiß 1971 Eiterfeld e.V.,http://www.tc-eiterfeld.de,https://htv.liga.nu/cgi-bin/WebObjects/nuLigaTENDE.woa/wa/clubInfoDisplay?club=25196,"Am Hain, 36132 Eiterfeld, Deutschland",87,107,194,4,Sand,0,-,50.7696968,9.8070574
Tennisclub Schwarz-Weiß 1981 Großenlüder,www.tc-grossenlueder.de,https://htv.liga.nu/cgi-bin/WebObjects/nuLigaTENDE.woa/wa/clubInfoDisplay?club=25216,"St.-Georg-Str. 23 A, 36137 Großenlüder, Deutschland",60,12,72,3,Sand,0,-,50.5881336,9.5401165
Tennisclub Schwarz-Weiß Fulda-Niesig 1980 e.V.,www.tc-niesig.de,https://htv.liga.nu/cgi-bin/WebObjects/nuLigaTENDE.woa/wa/clubInfoDisplay?club=25223,"Am Sandberg 21, 36039 Fulda, Deutschland",125,79,204,4,Sand,0,-,50.5819214,9.683602
Tennisclub Uttrichshausen 82 Kalbach Rhön e.V.,unbekannt,https://htv.liga.nu/cgi-bin/WebObjects/nuLigaTENDE.woa/wa/clubInfoDisplay?club=25218,"Am Schmidtwasser, 36148 Kalbach, Deutschland",48,45,93,2,Quarzsand,0,-,50.41179,9.73434
Turn- und Sportverein Schmalnau/Rhön 1910/46 e.V.,http://www.tsv-schmalnau.de,https://htv.liga.nu/cgi-bin/WebObjects/nuLigaTENDE.woa/wa/clubInfoDisplay?club=25192,"Am Steinkueppel, 36157 Ebersburg, Deutschland, ,",19,11,30,2,Quarzsand,0,-,50.4450111,9.7891107
